				Résultat
Mar 06/04 14h00 - 16h00 : 	2h	2h
Mer 07/04 09h00 - 18h00 : 	8h	10h
Jeu 08/04 08h00 - 17h00 :  	8h	18h
Ven 09/04 08h00 - 17h00 : 	8h	26h

Lun 12/04 08h00 - 19h00 : 	10h	36h
Mar 13/04 08h00 - 17h00 : 	8h	44h	
Mer 14/04 08h00 - 16h00 :	7h	51h
Jeu 15/04 09h00 - 17h00 :	7h	58h
Ven 16/04 09h00 - 17h00 :	7h	65h

Lun 19/04 08h00 - 17h00 :	8h	73h
Mar 20/04 08h00 - 17h00 :	8h	81h
Mer 21/04 09h00 - 18h00 :	8h	89h
Jeu 21/04 08h00 - 16h00 :	7h	96h
Ven 22/04 13h00 - 17h00 :	4h	100h

Lun 26/04 08h00 - 17h00 :	8h	108h
Mar 27/04 08h00 - 17h00 :	8h	116h
Mer 28/04 08h30 - 16h30 :	7h	124h
Jeu 29/04 08h30 - 16h30 :	7h	131h
Ven 30/04 09h00 - 16h00 : 	6h	137h

Lun 03/05 08h00 - 17h00 :	8h	145h
Mar 04/05 08h00 - 16h00 :	7h	152h
Mer 05/05 08h00 - 16h00 :	7h	159h
Jeu 06/05 08h00 - 16h30 :	7h30  	166h30
Ven 07/05 08h00 - 16h30 :	7h30  	174h

Lun 10/05 08h00	- 16h00 :	7h	181h
Mar 11/05 08h00	- 16h00 :	7h	188h
Mer 12/05 08h00	- 16h00 :	7h	195h
Jeu 13/05 Férié
Ven 14/05 08h00 - 16h00 :	7h	202h

Lun 17/05 08h00 - 17h00 :	8h	210h
Mar 18/05 10h00 - 18h00 :	7h	217h
Mer 19/05 08h00 - 18h00 :	9h	226h
Jeu 20/05 08h00 - 18h00 :	9h	235h
Ven 21/05 08h00 - 18h00 : 	9h	244h

Mar 25/05 08h00 - 16h00 : 	7h	251h
Mer 26/05 08h00 - 17h00 :	8h	259h
Jeu 27/05 08h00 - 17h00 :	8h	267h
Ven 28/05 08h00 - 16h00 :	7h	274h

Lun 31/05 08h00 - 17h00 :	8h	282h
Mar 01/06 08h00 - 16h00 :	7h	289h
Mer 02/06 08h00 - 17h00 :	8h	297h
Jeu 03/06 08h00 - 16h00 :	8h	305h
Ven 04/06 08h00 - 15h00 :	7h	312h	

Lun 07/06 09h00 - 15h00 :	6h	318h
